Name,ZIP code,Capital,Largest city,Ratification or Admission,Population,"Total area, km2","Land area, km2","Water area, km2"
Alabama,AL,Montgomery,Huntsville,1819-12-14,5024279,135767,131171,4597
Alaska,AK,Juneau,Anchorage,1959-01-03,733391,1723337,1477953,245384
Arizona,AZ,Phoenix,,1912-02-14,7151502,295234,294207,1026
Arkansas,AR,Little Rock,,1836-06-15,3011524,137732,134771,2961
California,CA,Sacramento,Los Angeles,1850-09-09,39538223,423967,403466,20501
Colorado,CO,Denver,,1876-08-01,5773714,269601,268431,1170
Connecticut,CT,Hartford,Bridgeport,1788-01-09,3605944,14357,12542,1816
Delaware,DE,Dover,Wilmington,1787-12-07,989948,6446,5047,1399
Florida,FL,Tallahassee,Jacksonville,1845-03-03,21538187,170312,138887,31424
Georgia,GA,Atlanta,,1788-01-02,10711908,153910,148959,4951
Hawaii,HI,Honolulu,,1959-08-21,1455271,28313,16635,11678
Idaho,ID,Boise,,1890-07-03,1839106,216443,214045,2398
Illinois,IL,Springfield,Chicago,1818-12-03,12812508,149995,143793,6202
Indiana,IN,Indianapolis,,1816-12-11,6785528,94326,92789,1537
Iowa,IA,Des Moines,,1846-12-28,3190369,145746,144669,1077
Kansas,KS,Topeka,Wichita,1861-01-29,2937880,213100,211754,1346
Kentucky,KY,Frankfort,Louisville,1792-06-01,4505836,104656,102269,2387
Louisiana,LA,Baton Rouge,New Orleans,1812-04-30,4657757,135659,111898,23761
Maine,ME,Augusta,Portland,1820-03-15,1362359,91633,79883,11750
Maryland,MD,Annapolis,Baltimore,1788-04-28,6177224,32131,25142,6990
Massachusetts,MA,Boston,,1788-02-06,7029917,27336,20202,7134
Michigan,MI,Lansing,Detroit,1837-01-26,10077331,250487,146435,104052
Minnesota,MN,St. Paul,Minneapolis,1858-05-11,5706494,225163,206232,18930
Mississippi,MS,Jackson,,1817-12-10,2961279,125438,121531,3907
Missouri,MO,Jefferson City,Kansas City,1821-08-10,6154913,180540,178040,2501
Montana,MT,Helena,Billings,1889-11-08,1084225,380831,376962,3869
Nebraska,NE,Lincoln,Omaha,1867-03-01,1961504,200330,198974,1356
Nevada,NV,Carson City,Las Vegas,1864-10-31,3104614,286380,284332,2048
New Hampshire,NH,Concord,Manchester,1788-06-21,1377529,24214,23187,1027
New Jersey,NJ,Trenton,Newark,1787-12-18,9288994,22591,19047,3544
New Mexico,NM,Santa Fe,Albuquerque,1912-01-06,2117522,314917,314161,757
New York,NY,Albany,New York City,1788-07-26,20201249,141297,122057,19240
North Carolina,NC,Raleigh,Charlotte,1789-11-21,10439388,139391,125920,13471
North Dakota,ND,Bismarck,Fargo,1889-11-02,779094,183108,178711,4397
Ohio,OH,Columbus,,1803-03-01,11799448,116098,105829,10269
Oklahoma,OK,Oklahoma City,,1907-11-16,3959353,181037,177660,3377
Oregon,OR,Salem,Portland,1859-02-14,4237256,254799,248608,6191
Pennsylvania,PA,Harrisburg,Philadelphia,1787-12-12,13002700,119280,115883,3397
Rhode Island,RI,Providence,,1790-05-29,1097379,4001,2678,1324
South Carolina,SC,Columbia,Charleston,1788-05-23,5118425,82933,77857,5076
South Dakota,SD,Pierre,Sioux Falls,1889-11-02,886667,199729,196350,3379
Tennessee,TN,Nashville,,1796-06-01,6910840,109153,106798,2355
Texas,TX,Austin,Houston,1845-12-29,29145505,695662,676587,19075
Utah,UT,Salt Lake City,,1896-01-04,3271616,219882,212818,7064
Vermont,VT,Montpelier,Burlington,1791-03-04,643077,24906,23871,1035
Virginia,VA,Richmond,Virginia Beach,1788-06-25,8631393,110787,102279,8508
Washington,WA,Olympia,Seattle,1889-11-11,7705281,184661,172119,12542
West Virginia,WV,Charleston,,1863-06-20,1793716,62756,62259,497
Wisconsin,WI,Madison,Milwaukee,1848-05-29,5893718,169635,140268,29367
Wyoming,WY,Cheyenne,,1890-07-10,576851,253335,251470,1864
